lobtai1,Длинноклювый апалис
thbwar1,Толстоклювая камышевка
whmtyr1,Белоголовый мухолов
soogra2,Чёрный семилеро
ducgra2,Бурый семилеро
strowl1,Полосатая сова
sheowl,Болотная сова
jamowl1,Ямайская сова
loeowl,Ушастая сова
styowl1,Черноватая сова
bltmot1,Синегорлый момот
auscan1,Южный канастеро
shbcan1,Короткоклювый канастеро
ocbthi1,Рыжебровый чертополошник
crbcan1,Изменчивый канастеро
mascan1,Пёстрый канастеро
whcthi1,Белобородый чертополошник
mocthi1,Мышиный чертополошник
bltthi1,Чернобородый чертополошник
punthi1,Чертополошник пуны
maqcan1,Боливийский канастеро
hudcan1,Пампасный канастеро
sttcan1,Пестрогорлый канастеро
sctcan1,Пестрохвостый канастеро
corcan1,Андский канастеро
itaspi1,Тусклый чертополошник
rufcan1,Рыжелобый канастеро
eyrthi1,Очковый чертополошник
perthi1,Перихский чертополошник
cancan1,Каньонный канастеро
shbcan2,Малый канастеро
puncan1,Puna Canastero
lifcan1,Белобровый канастеро
juncan1,Хунинский канастеро
stbcan1,Пестроспинный канастеро
peptyr1,Светлоглазый тоди-мухолов
rhgrol1,Рыжеголовая земляная ракша
plgrol1,Синеголовая земляная ракша
forowl1,Лесной сыч
spoowl1,Браминский сыч
burowl,Кроличий сыч
litowl1,Домовый сыч
whbowl1,Мадагаскарская иглоногая сова
yetgre1,Желтогорлый бюльбюль
t-11844441,Protean Shieldback
wnbfin1,Белошапочная атлапета
mobfin1,Белоусая атлапета
ysbfin1,Желтобровая атлапета
yehbrf1,Желтоголовая атлапета
fhbfin1,Буроголовая атлапета
dhbfin1,Темноголовая атлапета
yebbrf1,Рыжешапочная атлапета
wrbfin1,Очковая атлапета
wwbfin1,Белокрылая атлапета
smbfin1,Сероухая атлапета
bkfbrf1,Черноухая атлапета
phbfin1,Бледноголовая атлапета
pnbfin1,Рыжелобая атлапета
tebfin1,Капюшоновая ая атлапета
rcbfin1,Красношапочная атлапета
rebfin1,Рыжеухая атлапета
rnbfin1,Боливийская атлапета
slbfin2,Аспидная атлапета
obbfin1,Рыжеголовая атлапета
yetfin1,Желтобёдрая атлапета
trbfin1,Трёхцветная атлапета
nosbir1,Крикливая атрихия
rusbir1,Рыжая атрихия
rubsee2,Краснобрюхий зобатый бегунок
whbswa2,Белопоясковая ласточка
blcswa1,Черноголовая ласточка
whtswa1,Карликовая ласточка
ducatt1,Белоглазый аттила
cinatt1,Рыжий аттила
cibatt1,Желтобрюхий аттила
rutatt1,Горихвостковый аттила
gyhatt1,Сероголовый аттила
brratt1,Желтопоясный атилла
ochatt1,Охристый аттила
hoovis2,Сияющий колибри-капуцин
hyavis1,Гиацинтовый колибри-капуцин
souemt1,Андский туканет
blbtou1,Сероклювый туканет
chttou3,Малахитовый туканет
crrtou1,Краснопоясничный туканет
noremt1,Изумрудный туканет
grbtou1,Зелёный туканет
verdin,Американский ремез
butfog4,Желтогорлая лесовка
obfgle3,Оливковоспинная лесовка
wefgle1,Белоглазая лесовка
brfgle1,Черноногая лесовка
btfgle1,Светлогораля лесовка
parfog1,Парайская лесовка
ccfgle2,Рыжешапочная лесовка
strwoo1,Striped Woodhaunter (Eastern South America)
jerbaz1,Азиатская база
blabaz1,Чёрная база
pacbaz1,Хохлатая база
lessca,Малая морская чернеть
redhea,Американский нырок
rinduc,Кольчатая чернеть
compoc,Красноголовый нырок
tufduc,Хохлатая чернеть
gresca,Морская чернеть
ferduc,Белоглазый нырок
canvas,Парусиновый нырок
blctit4,Чернохохлая гренадерка
tuftit,Американская гренадерка
oaktit,Дубовая гренадерка
juntit1,Можжевельниковая гренадерка
britit,Мексиканская гренадерка
hongre1,Белохвостый бюльбюль
grccra1,Венценосный журавль
mobpar1,Горная бамбуковая куропатка
taibap1,Тайваньская бамбуковая куропатка
chbpar3,Китайская бамбуковая куропатка
gortan1,Арлекиновая танагра
mobtan1,Зеленоспинная танагра
bagtan2,Чёрно-золотая танагра
polpar1,Воротничковый попугай
uplsan,Прерийный кроншнеп
rufmot1,Рыжий момот
