rhgrol1,Crossleys Grondscharrelaar
plgrol1,Blauwkopgrondscharrelaar
forowl1,Bossteenuil
spoowl1,Brahmaanse Steenuil
burowl,Holenuil
litowl1,Steenuil
whbowl1,Madagaskarvalkuil
yetgre1,Geelkraagbuulbuul
t-11844441,Protean Shieldback
wnbfin1,Witnekstruikgors
mobfin1,Witbaardstruikgors
ysbfin1,Zwartbaardstruikgors
yehbrf1,Goudkopstruikgors
fhbfin1,Bruinbaardstruikgors
dhbfin1,Roetkopstruikgors
yebbrf1,Geelborststruikgors
wrbfin1,Brilstruikgors
wwbfin1,Witvleugelstruikgors
smbfin1,Santa-Martastruikgors
bkfbrf1,Zwartkeelstruikgors
phbfin1,Bleekkopstruikgors
pnbfin1,Bleeknekstruikgors
tebfin1,Tepuistruikgors
rcbfin1,Roodkapstruikgors
rebfin1,Roodoorstruikgors
rnbfin1,Roodnekstruikgors
slbfin2,Grijsborststruikgors
obbfin1,Okerborststruikgors
yetfin1,Geeldijstruikgors
trbfin1,Driekleurige Struikgors
nosbir1,Grote Doornkruiper
rusbir1,Rosse Doornkruiper
rubsee2,Andeskwartelsnip
whbswa2,Witbandzwaluw
blcswa1,Zwartkapzwaluw
whtswa1,Witflankzwaluw
ducatt1,Roestattila
cinatt1,Kaneelattila
cibatt1,Geelbuikattila
rutatt1,Roodstaartattila
gyhatt1,Grijskopattila
brratt1,Goudstuitattila
ochatt1,Okerattila
hoovis2,Groenbuikvizierkolibrie
hyavis1,Blauwbuikvizierkolibrie
souemt1,Southern Emerald-Toucanet
blbtou1,Blauwbandarassari
chttou3,Derby-arassari
crrtou1,Roodstuitarassari
noremt1,Northern Emerald-Toucanet
grbtou1,Geeloogarassari
verdin,Geelkopmees
butfog4,Chiriqui Foliage-gleaner
obfgle3,Olijfrugbladspeurder
wefgle1,Witoogbladspeurder
brfgle1,Bruinstuitbladspeurder
btfgle1,Bruinkeelbladspeurder
parfog1,Parábladspeurder
ccfgle2,Roodkruinbladspeurder
strwoo1,Bosbladspeurder (subulatus/lemae)
jerbaz1,Jerdons Koekoekswouw
blabaz1,Zwarte Koekoekswouw
pacbaz1,Australische Koekoekswouw
lessca,Kleine Topper
redhea,Amerikaanse Tafeleend
rinduc,Ringsnaveleend
compoc,Tafeleend
tufduc,Kuifeend
gresca,Topper
ferduc,Witoogeend
canvas,Grote Tafeleend
blctit4,Zwartkruinmees
tuftit,Tweekleurige Mees
oaktit,Grijze Mees
juntit1,Ridgways Mees
britit,Harlekijnmees
hongre1,Witstaartbuulbuul
grccra1,Grijze Kroonkraanvogel
mobpar1,Bamboepatrijs
taibap1,Taiwanbamboepatrijs
chbpar3,Chinese bamboepatrijs
gortan1,Goudringtangare
mobtan1,Groenrugtangare
bagtan2,Zwart-gouden Tangare
polpar1,Port-Lincolnparkiet
uplsan,Bartrams Ruiter
rufmot1,Rosse Motmot
rucmot2,Roodkopmotmot
gobwar1,Goudbrauwzanger
gcrwar,Goudhaanzanger
rucwar4,Chestnut-capped Warbler
fatwar,Waaierzanger
blcwar1,Zwartwangzanger
thswar5,Costa Rican Warbler
rucwar,Roodkapzanger
thbwar2,Driebandzanger
thswar1,Driestreepzanger
whehum,Witoorsaffierkolibrie
giaant2,Reuzenmierklauwier
bkfruw1,Grijsbuikvoszanger
capbat1,Cape Batis
bkhbat1,Savanne-vliegenvanger (erlangeri)
shtbat1,Kortstaart-vliegenvanger
chibat1,Witflankvliegenvanger
gyhbat1,Doornvliegenvanger
pygbat1,Kleine Doornvliegenvanger
pribat1,Priritvliegenvanger
palbat1,Acaciavliegenvanger
javfro2,Blyths Kikkerbek
larfro1,Grote Kikkerbek
sunfro1,Maleise Kikkerbek
hodfro1,Hodgsons Kikkerbek
ceyfro1,Ceylonkikkerbek
phifro1,Filippijnse Kikkerbek
goufro1,Goulds Kikkerbek
whchor2,Langkuifneushoornvogel
potpal1,Palmkruiper
lobber1,Bernieria
bawfly1,Zwart-witte Klauwiervliegenvanger
whbant2,Witbaardmierklauwier
musduc1,Australische Muskuseend
gyhbri1,Grijskopblada
lesbri2,Kleine Groenstaartblada
combri2,Roodstaartblada
baywoo1,Roodoorspecht
marwoo1,Robijnspecht
butcor1,Bruinstaarthoornkolibrie
vepcor1,Witstaarthoornkolibrie
chbcor1,Matthews' Hoornkolibrie
guaiab1,Guiabero
barpar1,Katharinaparkiet
andpar1,Andesparkiet
brihon1,Bontbekhoningeter
cedwax,Cederpestvogel
bohwax,Pestvogel
japwax1,Japanse Pestvogel
