rinduc,czerniczka
compoc,głowienka
tufduc,czernica
gresca,ogorzałka
ferduc,podgorzałka
canvas,głowienka długodzioba
blctit4,sikora teksaska
tuftit,sikora dwubarwna
oaktit,sikora kalifornijska
juntit1,sikora mysia
britit,sikora cuglowa
hongre1,kongowiec jasnooki
grccra1,koronnik szary
mobpar1,bambusówka górska
taibap1,bambusówka rdzawoplama
chbpar3,bambusówka chińska
gortan1,tanagra złotołbista
mobtan1,tanagra modrolica
bagtan2,tanagra czarno-złota
polpar1,rozella czarnogłowa
uplsan,preriowiec
rufmot1,piłodziób rdzawy
rucmot2,piłodziób rdzawogłowy
gobwar1,koronówka złotobrewa
gcrwar,koronówka szarogrzbieta
rucwar4,koronówka rdzawolica
fatwar,koronówka wachlarzowata
blcwar1,koronówka czarnolica
thswar5,koronówka kostarykańska
rucwar,koronówka rdzawoucha
thbwar2,koronówka Taczanowskiego
thswar1,koronówka paskogłowa
whehum,szafirek białouchy
giaant2,batara
bkfruw1,strumieńczyk czarnolicy
capbat1,krępnik rdzawoskrzydły
bkhbat1,krępnik białobrewy
shtbat1,krępnik krótkosterny
chibat1,krępnik czarnopierśny
gyhbat1,krępnik akacjowy
pygbat1,krępnik malutki
pribat1,krępnik szaroboczny
palbat1,krępnik czarnowstęgi
javfro2,gębal malajski
larfro1,gębal uszaty
sunfro1,gębal sundajski
hodfro1,gębal długosterny
ceyfro1,gębal cejloński
phifro1,gębal cynamonowy
goufro1,gębal łuskowany
whchor2,dzioborożec długoczuby
potpal1,palmołaz
lobber1,madagaskarniczek długodzioby
bawfly1,kongowczyk czubaty
whbant2,śliniacznik
musduc1,bisiorka
gyhbri1,bleda szarogłowa
lesbri2,bleda kongijska
combri2,bleda rudosterna
baywoo1,drewniak kasztanowaty
marwoo1,drewniak ciemny
butcor1,amorek zielony
vepcor1,amorek szafirowy
chbcor1,amorek ognisty
guaiab1,kusogonka
barpar1,stokówka prążkowana
andpar1,stokówka andyjska
brihon1,kantarowczyk duży
cedwax,jemiołuszka cedrowa
bohwax,jemiołuszka
japwax1,jemiołuszka japońska
rufgro,cieciornik
watibi1,ibis koralikowy
hadibi1,ibis białowąsy
amebit,bąk amerykański
grebit1,bąk
whtjac1,złotopiór białogardły
brojac2,złotopiór żałobny
pubbul1,Puff-backed Bulbul
blhbul1,Black-headed Bulbul
bawbul2,Black-and-white Bulbul
gyhbul1,Gray-headed Bulbul
yewbul1,Yellow-wattled Bulbul
whbsho4,kusochwostka białobrewa
whbsho6,kusochwostka brązowa
rubsho1,kusochwostka rudobrzucha
lessho1,kusochwostka mała
whbsho12,kusochwostka górska (montana)
marmur,morzyk marmurkowy
afgfly1,mucharka szara
afbwar1,krótkolotka bagienna
afswar1,krótkolotka uboga
bretai1,krótkolotka brązowa
wwswar1,krótkolotka białoskrzydła
cibwar1,krótkolotka cynamonowa
camscw1,krótkolotka brunatna
knswar1,krótkolotka szerokosterna
brant,bernikla obrożna
cangoo,bernikla kanadyjska
cacgoo1,bernikla północna
bargoo,bernikla białolica
hawgoo,bernikla hawajska
yecpar,stadniczka żółtoskrzydła
gowpar2,stadniczka złotoskrzydła
cowpar1,stadniczka niebieskosterna
orcpar,stadniczka brązowoskrzydła
gycpar1,stadniczka siwolica
tuipar1,stadniczka żółtoczelna
plapar1,stadniczka spiżowa
whwpar,stadniczka białoskrzydła
wbbwea1,bawolik białodzioby
rbbwea1,bawolik czerwonodzioby
spoeao2,puchacz plamisty
roeowl1,puchacz indyjski
eueowl1,puchacz
dueowl1,Dusky Eagle-Owl
veeowl1,Verreaux's Eagle-Owl
sbeowl1,Spot-bellied Eagle-Owl
snoowl1,sowa śnieżna
baeowl1,Barred Eagle-Owl
grhowl,puchacz wirginijski
categr,czapla złotawa
trufin2,gilak pustynny
yesbar1,wąsalik
colpuf1,drzym obrożny
chcpuf1,drzym jarzębaty
spopuf1,drzym wąsaty
buffle,gągołek
comgol,gągoł
bargol,sierpiec
grehor1,dzioborożec wielki
rufhor1,dzioborożec rdzawogłowy
rhihor1,dzioborożec żałobny
helhor1,Helmeted Hornbill
soghor1,dzioboróg kafryjski
bulpet,tajfunnik cienkodzioby
yeboxp1,bąkojad żółtodzioby
reboxp1,bąkojad czerwonodzioby
dstkne,Double-striped Thick-knee
sptkne1,kulon plamisty
butkne1,kulon australijski
indthk1,kulon indyjski
eutkne1,kulon
setkne1,kulon rzeczny
petkne1,Peruvian Thick-knee
watkne1,kulon nadwodny
blchaw1,tarczownik
gyfbuz1,myszołap białobrewy
whebuz1,myszołap białooki
whthaw1,myszołów białogardły
zothaw,myszołów czarny
augbuz1,myszołów białobrzuchy
madbuz1,myszołów madagaskarski
shthaw,myszołów krótkoogonowy
combuz1,myszołów
