bawcow4,Grayish Baywing
rewbla,Red-winged Blackbird
tribla,Tricolored Blackbird
unibla2,Unicolored Blackbird
yewbla2,Yellow-winged Blackbird
paebla2,Pale-eyed Blackbird
vitsyl1,Violet-tailed Sylph
lotsyl1,Long-tailed Sylph
bkbsht1,Black-billed Shrike-Tyrant
chcsta1,Chestnut-cheeked Starling
dausta1,Daurian Starling
grecat1,Green Catbird
spocat2,Spotted Catbird
oaxspa1,Oaxaca Sparrow
russpa1,Rusty Sparrow
rucspa,Rufous-crowned Sparrow
manduc,Anatra mandarina
wooduc,Wood Duck
goeant1,Goeldi's Antbird
whsant1,White-shouldered Antbird
grhlar1,Allodola beccocurvo
skylar,Allodola
orisky1,Oriental Skylark
lstlar2,Asian Short-toed Lark
tstlar1,Turkestan Short-toed Lark
sanlar1,Sand Lark
mstlar1,Mediterranean Short-toed Lark
sstlar1,Somali Short-toed Lark
razorb,Gazza marina
comkin1,Martin pescatore
blekin1,Blue-eared Kingfisher
broful1,Brown Fulvetta
gycful4,Yunnan Fulvetta
gycful5,Huet's Fulvetta
gycful1,Morrison's Fulvetta
nepful1,Nepal Fulvetta
mouful1,Mountain Fulvetta
brcful1,Brown-cheeked Fulvetta
javful1,Javan Fulvetta
runwhi1,Rufous-naped Bellbird
barpar2,Pernice sarda
chukar,Coturnice orientale
rocpar2,Coturnice
relpar1,Pernice rossa
ausbrt1,Australian Brushturkey
ficale2,Fire-crested Alethe
ficale3,White-tailed Alethe
yefpar5,Yellow-faced Parrot
aukpar1,Australian King-Parrot
scbthr,Scaly-breasted Thrasher
t-11840984,Allard's Ground Cricket
t-11843287,Tinkling Ground Cricket
t-11855914,Walker's Ground Cricket
finbul1,Finsch's Bulbul
whtbul1,White-throated Bulbul
ochbul2,Ochraceous Bulbul
putbul1,Puff-throated Bulbul
yebbul2,Yellow-bellied Bulbul
gycbul2,Gray-cheeked Bulbul
tahswa2,Tawny-headed Swallow
egygoo,Oca egiziana
t-11062401,Mexican Black Howler Monkey
legrob1,Lesser Ground-Robin
redava,Bengalino comune
unicra1,Uniform Crake
isabuh1,Isabelline Bush-hen
rutbuh1,Pale-vented Bush-hen
whbwat1,White-breasted Waterhen
blusee1,Blue Seedeater
blbsee3,Blackish-blue Seedeater
honeme1,Honduran Emerald
cinhum1,Cinnamon Hummingbird
rtlhum,Rufous-tailed Hummingbird
bubhum,Buff-bellied Hummingbird
amahum1,Amazilia Hummingbird
bufpar,Turquoise-fronted Parrot
blbpar1,Black-billed Parrot
whfpar1,White-fronted Parrot
orwpar,Orange-winged Parrot
yenpar1,Yellow-naped Parrot
relpar,Red-lored Parrot
retpar1,Red-tailed Parrot
blcpar2,Blue-cheeked Parrot
meapar,Mealy Parrot
fespar1,Festive Parrot
licpar,Lilac-crowned Parrot
kawpar1,Kawall's Parrot
cubpar1,Cuban Parrot
scnpar1,Scaly-naped Parrot
ywcpar,Yellow-crowned Parrot
yehpar,Yellow-headed Parrot
rebpar7,Red-browed Parrot
tucpar1,Tucuman Parrot
hispar1,Hispaniolan Parrot
