pifshe,Puffin à pieds roses
sooshe,Puffin fuligineux
wetshe,Puffin fouquet
shtshe,Puffin à bec grêle
chpher1,Crabier chinois
inpher1,Crabier de Gray
squher1,Crabier chevelu
japher1,Crabier malais
rudtur,Tournepierre à collier
blktur,Tournepierre noir
grearg1,Argus géant
yebbab1,Cratérope affin
combab3,Cratérope indien
strbab1,Cratérope strié
lagbab2,Cratérope gris
junbab2,Cratérope de brousse
rufbab3,Cratérope roussâtre
shegre1,Bulbul des Misuku
stcgre1,Bulbul montagnard
easmog1,Bulbul à tête sombre
blcspa2,Tohi d'Abeillé
sthbrf8,Tohi à raies grises
sthbrf1,Tohi à tête noire
orbspa1,Tohi à bec orange
sthbrf4,Tohi de Bangs
ccbfin,Tohi à nuque brune
olifin1,Tohi lysure
sthbrf3,Tohi du Costa Rica
soffin1,Tohi masqué
sabspa1,Tohi à bec jaune
safspa1,Tohi du Sao Francisco
sthbrf5,Tohi de la Perija
gowspa1,Tohi de Schlegel
hacspa1,Tohi à semi-collier
pecspa1,Tohi silencieux
sthbrf2,Tohi à tête rayée
gsbfin1,Tohi à raies vertes
grbspa1,Tohi à dos vert
blsspa1,Tohi ligné
olispa,Tohi olive
tocspa1,Tohi de Tocuyo
frimon1,Monarque à collerette
blfwoo1,Langrayen gris
duswoo1,Langrayen sordide
ashwoo2,Langrayen brun
whbwoo4,Langrayen à ventre blanc
maswoo1,Langrayen masqué
whbwoo5,Langrayen bridé
belspa2,Bruant de Bell
sagspa1,Bruant des armoises
afrtai2,Apalis couturière
lobtai1,Apalis à long bec
thbwar1,Rousserolle à gros bec
whmtyr1,Moucherolle à tête blanche
soogra2,Cici fuligineux
ducgra2,Cici obscur
strowl1,Hibou strié
sheowl,Hibou des marais
jamowl1,Hibou de Jamaïque
loeowl,Hibou moyen-duc
styowl1,Hibou maître-bois
bltmot1,Motmot à gorge bleue
auscan1,Synallaxe austral
shbcan1,Synallaxe à bec court
ocbthi1,Synallaxe de Cory
crbcan1,Synallaxe de d'Orbigny
mascan1,Synallaxe flammé
whcthi1,Synallaxe à menton blanc
mocthi1,Synallaxe souris
bltthi1,Synallaxe à gorge noire
punthi1,Synallaxe de Heller
maqcan1,Synallaxe d'Iquico
hudcan1,Synallaxe de Hudson
sttcan1,Synallaxe terrestre
sctcan1,Synallaxe à queue marbrée
corcan1,Synallaxe des rocailles
itaspi1,Synallaxe d'Itatiaia
rufcan1,Synallaxe à front rouille
eyrthi1,Synallaxe à lunettes
perthi1,Synallaxe de la Perija
cancan1,Synallaxe des canyons
shbcan2,Synallaxe vannier
puncan1,Puna Canastero
lifcan1,Synallaxe inca
juncan1,Synallaxe de Junin
stbcan1,Synallaxe de Wyatt
peptyr1,Microtyran coiffé
rhgrol1,Brachyptérolle de Crossley
plgrol1,Brachyptérolle pittoïde
forowl1,Chevêche forestière
spoowl1,Chevêche brame
burowl,Chevêche des terriers
litowl1,Chevêche d'Athéna
whbowl1,Chevêche à sourcils blancs
yetgre1,Bulbul à gorge claire
t-11844441,Protean Shieldback
wnbfin1,Tohi à calotte blanche
mobfin1,Tohi moustachu
ysbfin1,Tohi citrin
yehbrf1,Tohi à tête olive
fhbfin1,Tohi à tête rousse
dhbfin1,Tohi sombre
yebbrf1,Tohi à miroir
wrbfin1,Tohi bridé
wwbfin1,Tohi leucoptère
smbfin1,Tohi de Santa Marta
bkfbrf1,Tohi mélanien
phbfin1,Tohi grisonnant
pnbfin1,Tohi à nuque claire
tebfin1,Tohi des tépuis
rcbfin1,Tohi à calotte rousse
rebfin1,Tohi rougeaud
rnbfin1,Tohi à nuque rousse
slbfin2,Tohi ardoisé
obbfin1,Tohi demi-roux
yetfin1,Tohi à cuisses jaunes
trbfin1,Tohi tricolore
nosbir1,Atrichorne bruyant
rusbir1,Atrichorne roux
rubsee2,Attagis de Gay
whbswa2,Hirondelle à ceinture blanche
blcswa1,Hirondelle à tête noire
