rinduc,polák proužkozobý
compoc,polák velký
tufduc,polák chocholačka
gresca,polák kaholka
ferduc,polák malý
canvas,polák dlouhozobý
blctit4,Black-crested Titmouse
tuftit,sýkora rezavoboká
oaktit,Oak Titmouse
juntit1,Juniper Titmouse
britit,Bridled Titmouse
hongre1,Honeyguide Greenbul
grccra1,jeřáb královský
mobpar1,kur skvrnitý
taibap1,kur tchajwanský
chbpar3,kur bambusový
gortan1,Gold-ringed Tanager
mobtan1,Moss-backed Tanager
bagtan2,Black-and-gold Tanager
polpar1,barnard límcový
uplsan,bartramie dlouhoocasá
rufmot1,momot skořicový
rucmot2,momot rezavohlavý
gobwar1,Golden-browed Warbler
gcrwar,Golden-crowned Warbler
rucwar4,Chestnut-capped Warbler
fatwar,Fan-tailed Warbler
blcwar1,Black-cheeked Warbler
thswar5,Costa Rican Warbler
rucwar,Rufous-capped Warbler
thbwar2,Three-banded Warbler
thswar1,Three-striped Warbler
whehum,kolibřík bělouchý
giaant2,Giant Antshrike
bkfruw1,Black-faced Rufous-Warbler
capbat1,Cape Batis
bkhbat1,Western Black-headed Batis
shtbat1,Short-tailed Batis
chibat1,Chinspot Batis
gyhbat1,Gray-headed Batis
pygbat1,Pygmy Batis
pribat1,Pririt Batis
palbat1,Pale Batis
javfro2,lelkoun malajský
larfro1,lelkoun ušatý
sunfro1,lelkoun sundský
hodfro1,lelkoun dlouhoocasý
ceyfro1,lelkoun srílanský
phifro1,lelkoun filipínský
goufro1,lelkoun pralesní
whchor2,zoborožec vlasatý
potpal1,Point-tailed Palmcreeper
lobber1,Long-billed Bernieria
bawfly1,Black-and-white Shrike-flycatcher
whbant2,White-bearded Antshrike
musduc1,kachnice laločnatá
gyhbri1,Gray-headed Bristlebill
lesbri2,Lesser Bristlebill
combri2,Red-tailed Bristlebill
baywoo1,datel žlutozobý
marwoo1,datel tmavočervený
butcor1,kolibřík žlutoocasý
vepcor1,kolibřík hyacintový
chbcor1,kolibřík peruánský
guaiab1,loríček modrobradý
barpar1,aymara vlnkovaný
andpar1,aymara andský
brihon1,Bridled Honeyeater
cedwax,brkoslav americký
bohwax,brkoslav severní
japwax1,brkoslav amurský
rufgro,jeřábek kanadský
watibi1,ibis etiopský
hadibi1,ibis hagedaš
amebit,bukač severoamerický
grebit1,bukač velký
whtjac1,leskovec bělohrdlý
brojac2,leskovec hnědý
pubbul1,Puff-backed Bulbul
blhbul1,Black-headed Bulbul
bawbul2,Black-and-white Bulbul
gyhbul1,Gray-headed Bulbul
yewbul1,Yellow-wattled Bulbul
whbsho4,Himalayan Shortwing
whbsho6,Taiwan Shortwing
rubsho1,Rusty-bellied Shortwing
lessho1,Lesser Shortwing
whbsho12,Javan Shortwing
marmur,alkoun mramorovaný
afgfly1,African Gray Flycatcher
afbwar1,Little Rush Warbler
afswar1,Barratt's Warbler
bretai1,Brown Emutail
wwswar1,White-winged Swamp Warbler
cibwar1,Cinnamon Bracken-Warbler
camscw1,Evergreen-forest Warbler
knswar1,Knysna Warbler
brant,berneška tmavá
cangoo,berneška velká
cacgoo1,berneška malá
bargoo,berneška bělolící
hawgoo,berneška havajská
yecpar,tirika jižní
gowpar2,tirika zlatokřídlý
cowpar1,tirika modrokřídlý
orcpar,tirika tovi
gycpar1,tirika šedolící
tuipar1,tirika žlutočelý
plapar1,tirika zelený
whwpar,tirika bělokřídlý
wbbwea1,tkalčík světlezobý
rbbwea1,Red-billed Buffalo-Weaver
spoeao2,výr africký
roeowl1,výr indický
eueowl1,výr velký
dueowl1,Dusky Eagle-Owl
veeowl1,Verreaux's Eagle-Owl
sbeowl1,Spot-bellied Eagle-Owl
snoowl1,sovice sněžní
baeowl1,Barred Eagle-Owl
grhowl,výr virginský
categr,volavka rusohlavá
trufin2,hýl trubač
yesbar1,vousáček žlutoskvrnný
colpuf1,lenivka obojková
chcpuf1,lenivka černolící
spopuf1,lenivka skvrnitá
buffle,hohol bělavý
comgol,hohol severní
bargol,hohol islandský
grehor1,dvojzoborožec žlutozobý
rufhor1,dvojzoborožec hnědavý
rhihor1,dvojzoborožec velký
helhor1,Helmeted Hornbill
soghor1,zoboroh jižní
bulpet,buřňák Bulwerův
yeboxp1,Yellow-billed Oxpecker
reboxp1,klubák červenozobý
